Date,Ticker,Action,Price,Shares,Value
2011-03-28,2096,BUY,3311.3000000000006,3,9933.900000000001
2011-03-28,2296,BUY,1029.495,8,8235.96
2011-03-28,2722,BUY,57.3925,213,12224.602499999999
2011-03-28,3546,BUY,6.9525,141,980.3025
2011-03-28,4325,BUY,224.54,78,17514.12
2011-03-28,4684,SELL,54.2675,2684,145653.97
2011-03-28,5400,BUY,559.8075,17,9516.7275
2011-03-28,6367,BUY,115.93499999999999,160,18549.6
2011-03-28,8021,BUY,301.29999999999995,29,8737.699999999999
2011-03-28,12521,BUY,1540.4,4,6161.6
2011-03-28,16795,SELL,95.28,33,3144.2400000000002
2011-03-28,19611,BUY,11.580000000000002,992,11487.360000000002
2011-03-28,19961,BUY,323.9775,27,8747.3925
2011-03-28,20099,BUY,60.785000000000004,221,13433.485
2011-03-28,20883,BUY,153.625,83,12750.875
2011-03-28,25386,BUY,117.92999999999999,1574,185621.81999999998
2011-03-28,27266,BUY,99.8925,137,13685.2725
2011-03-28,27738,BUY,130.4375,44,5739.25
2011-03-28,28293,BUY,319.355,44,14051.62
2011-03-28,37500,BUY,7.319999999999999,2130,15591.599999999999
2011-03-30,121,BUY,94.2594401,204,19228.9257804
2011-03-30,151,BUY,133.36897349999998,229,30541.494931499998
2011-03-30,641,BUY,60.085599,344,20669.446056
2011-03-30,1016,BUY,187.1301684,154,28818.045933600002
2011-03-30,1128,BUY,39.9643181,585,23379.1260885
2011-03-30,1520,BUY,110.0566635,271,29825.3558085
2011-03-30,4301,BUY,186.44082589999996,141,26288.156451899995
2011-03-30,5955,BUY,147.4566275,181,26689.6495775
2011-03-30,12111,BUY,31.694714800000003,796,25228.9929808
2011-03-30,27266,BUY,108.39221470000001,291,31542.134477700005
2011-04-04,155,BUY,46.25750000000001,3523,162965.17250000002
2011-04-04,208,SELL,96.325,270,26007.75
2011-04-04,446,SELL,168.1325,43,7229.697499999999
2011-04-04,541,BUY,147.4625,13,1917.0125
2011-04-04,1016,SELL,192.90250000000003,88,16975.420000000002
2011-04-04,1520,BUY,105.3125,3,315.9375
2011-04-04,2096,SELL,3452.3875,1,3452.3875
2011-04-04,2296,SELL,1052.115,3,3156.3450000000003
2011-04-04,2722,BUY,57.552499999999995,29,1669.0224999999998
2011-04-04,3546,SELL,7.630000000000001,2857,21798.910000000003
2011-04-04,4325,SELL,224.37,4,897.48
2011-04-04,5400,SELL,599.775,22,13195.05
2011-04-04,6367,BUY,118.05,5,590.25
2011-04-04,8021,SELL,306.4625,9,2758.1625
2011-04-04,12521,SELL,1660.75,7,11625.25
2011-04-04,16795,SELL,94.5875,4,378.35
2011-04-04,19611,SELL,12.6925,1376,17464.88
2011-04-04,19961,SELL,331.09000000000003,9,2979.8100000000004
